iter	Passed	Remaining
893	2936	348
894	2938	344
895	2939	341
896	2940	337
897	2941	334
898	2945	330
899	2946	327
900	2947	323
901	2949	320
902	2951	317
903	2954	313
904	2956	310
905	2957	306
906	2958	303
907	2960	299
908	2963	296
909	2965	293
910	2966	289
911	2967	286
912	2969	282
913	2971	279
914	2973	276
915	2974	272
916	2975	269
917	2977	265
918	2978	262
919	2982	259
920	2983	255
921	2985	252
922	2986	249
923	2987	245
924	2991	242
925	2992	239
926	2994	235
927	2995	232
928	2996	229
929	3000	225
930	3001	222
931	3003	219
932	3004	215
933	3006	212
934	3008	209
935	3009	205
936	3011	202
937	3012	199
938	3013	195
939	3017	192
940	3019	189
941	3020	185
942	3021	182
943	3023	179
944	3026	176
945	3027	172
946	3028	169
947	3030	166
948	3031	162
949	3034	159
950	3035	156
951	3037	153
952	3038	149
953	3039	146
954	3040	143
955	3044	140
956	3045	136
957	3046	133
958	3048	130
959	3049	127
960	3052	123
961	3054	120
962	3055	117
963	3056	114
964	3058	110
965	3061	107
966	3063	104
967	3064	101
968	3065	98
969	3066	94
970	3068	91
971	3071	88
972	3073	85
973	3075	82
974	3076	78
975	3079	75
976	3081	72
977	3082	69
978	3083	66
979	3089	63
980	3090	59
981	3091	56
982	3093	53
983	3098	50
984	3100	47
985	3101	44
986	3103	40
987	3106	37
988	3108	34
989	3109	31
990	3111	28
991	3113	25
992	3114	21
993	3116	18
994	3118	15
995	3120	12
996	3122	9
997	3123	6
998	3128	3
999	3130	0
